Package Name,App Name,App MD5,Size,App Market
cn.baohong.app,包红,463a6a371b154d942f5f2c8a1b56ebfd,128.0M,Tencent
cn.fangchan.fanzan,返赞,8552af6b5a1d0cf334e2df7a19cfcfe2,51.1M,Tencent
cn.huiqing.walkday,走路赚点钱,55f0092d5567153fa64199f86088f00e,45.0M,Tencent
cn.jxhb123.jxhb123,惊喜红包,26d56898f9e9c1316038ac7d53cc11e0,44.2M,Tencent
cn.youth.news,中青看点,8b8c1f408a872112bba5f3f26374bcf5,60.6M,Tencent
com.achievo.vipshop,唯品会,7feff28a8a0122bae39c2ddd389d1a18,102.5M,Tencent
com.app.fengyiFree,枫以视频,6169bfe49f6c234ac297e37d775bfec4,90.8M,Tencent
com.baidu.browser.apps,百度浏览器,1a499e84fb64266ce863add89ec744ad,48.7M,Tencent
com.baidu.hkvideo,好看视频极速版,315ec25373a2e056c6d4608bd62d97be,38.4M,Tencent
com.baidu.searchbox.lite,百度极速版,30914d9548dd9814461358b2da2f2ea3,36.4M,Tencent
com.baidu.searchbox.tomas,百度大字版,4a5cf2247bbef90a414a014ae6806167,57.9M,Tencent
com.bx.hbll,红包来了,a4bfdc75d1827cfc60c42a9b2a300075,35.2M,Tencent
com.cashtoutiao,惠头条,0f6791bd52cd98f57a4d21c6e3e5f55b,59.2M,Tencent
com.cashwalk,惠运动,dd996f090d1ee6c83026dded3884409c,45.7M,Tencent
com.chenglie.qhbvideo,趣红包短视频版,a7b7a354c1c02becd5aac70422c51e16,43.5M,Tencent
com.chilliv.shortvideo,辣椒短视频,40677e00a02a88aba5e0f6332a569cf1,43.9M,Tencent
com.chumeng.xsbjsb,悬赏帮极速版,c41154964c764977e042de9feec372b3,14.9M,Tencent
com.cxkj_soft.jwjbq,全民走路计步,f383fb888e7add2cf25343df7cde7ce6,24.6M,Tencent
com.dadeliu.aishuaproject,爱刷大字版,06617600a68d22dae111167abffc127d,33.8M,Tencent
com.dangdang.buy2,当当,3ccf40e2e4893ef44c87e45bcf8f9a3b,131.4M,Tencent
com.ddyhq.youhuiquan,优惠券,1bacd09ce6716ab185591a77b3634f98,15.0M,Tencent
com.dragon.read,番茄免费小说,23c721d5d93366e065e6406b4a49d429,65.8M,Tencent
com.duokan.reader,多看阅读,d5be659975ff57cc3bb3413a0f039fdd,48.1M,Tencent
com.duowan.mobile,YY,81bb44a48735c2890763413f0031dc52,107.1M,Tencent
com.eg.android.AlipayGphone,支付宝,bd626562e5ce0318b5a9f96054824ce2,115.6M,Tencent
com.fanlitejiaban,返现特价版,a530bff9d27dd01bc97badcf964eefd6,42.6M,Tencent
com.fanqian.android,818红包,c767b436ee7e65093c2e19380a1a4372,28.3M,Tencent
com.fqapps.fdsh,福袋生活,60ae16cd88aa8836216ac830ec7845f2,71.4M,Tencent
com.happycdz.zskj,充电开心赚,1b4b90892a213ba62c67b38e7de9010c,78.6M,Tencent
com.hdx.dzzq,打字赚钱,53b9dc836a9ae041cf148bd1840f763d,12.4M,Tencent
com.hk.reader,番薯免费小说,4532d550c954589068c0de0cdbcb80b4,30.4M,Tencent
com.hrz.quick,红人装极速版,5b0f2b370b89dec4a404dde88c312b27,56.1M,Tencent
com.htzq.bf,灰兔赚钱,181d74c490ede140ea460afccca51dee,70.9M,Tencent
com.huazhuan.app,花赚,d5a38947562d15922366650ed736e0e5,54.8M,Tencent
com.hupu.shihuo,识货,aa2955c50699dbc94746a72e581372ca,109.0M,Tencent
com.ifeng.news2,Ifeng_News,4be736cc00734bae65d8c516f7e561f9,71.7M,Tencent
com.ifext.news,凤凰新闻极速版,3a10fcd44f68f5312c757c7960cf94f8,97.2M,Tencent
com.ifreetalk.ftalk,派派,df74bf5f0879173cb7e22ff4359dfd4b,97.5M,Tencent
com.immomo.young,陌陌极速版,3bc0e8e73cc8579b9ef11ee44aa57c1d,97.3M,Tencent
com.jd.jdlite,京喜特价,936d0640f2ef79f9eca7885027b0f43f,20.8M,Tencent
com.jd.pingou,京喜,61e02240ca3059036edd817cf7d1e630,48.3M,Tencent
com.jielong.idiomwords,躺赚成语接龙,d3d2fb4f6c6558889f7e98e5e1b7dfd8,35.3M,Tencent
com.jifen.qukan,趣头条,b1b3d018f9a0bd41c0e758820a564f25,48.4M,Tencent
com.jingdong.app.mall,京东,2daae0537e23766d799ea3812beaf005,132.4M,Tencent
com.juejinchain.android,掘金宝,97d410549fe7abad74984ffa197cb36b,69.9M,Tencent
com.kling.hbao,快领红包短视频,5196ee071b2b8b869afbaf3bc46ef13b,37.1M,Tencent
com.kmxs.reader,七猫免费小说,c23897bdb6b56a5421baeebf0126a49e,44.5M,Tencent
com.kuaishou.kgx.novel,快手免费小说,6b6023575b2a050a26db38c953c705cf,50.7M,Tencent
com.kuaishou.nebula,快手极速版,74e1a6e4773d79078a2dde5e6e892261,52.2M,Tencent
com.ldd.redenvelope,极速红包管家,831edb5952f8406016a8ea1350a26ef2,33.7M,Tencent
com.lechuan.mdwz,米读极速版,8529687fad98785793a775ff970d138a,36.5M,Tencent
com.lehuoapp.mm,乐活,6a62c0e20556504b60221ee52ce4a6e7,53.0M,Tencent
com.leixun.taofen8,淘粉吧-省钱返利,089416bcc202a0b1abd948d20cf793cf,85.1M,Tencent
com.letv.shortvideo.android,乐见极速版,7b94e43ff52f6ff9a8a946040008866c,70.3M,Tencent
com.ljhdata.txyy,天下有约,c32fa822350940b0a07537c3c5fd80ba,75.9M,Tencent
com.lywx.yjjd.xqdy,极象赚钱,fc6e82e89ff6c3921d97cad3569d3d0a,71.3M,Tencent
com.maihan.tredian,淘最热点,2e8ff320dea2d597b5ab03b3eeae6939,22.9M,Tencent
com.mb.sheep,消方块红包极速版,a6f79a4c2c66d5c10f0b66d87a1aff62,50.0M,Tencent
com.meituan.turbo,美团极速版,54790eb775657f5afb5667b5cee16ec7,9.2M,Tencent
com.moji.mjweather.light,墨迹天气极速版,c29ee62d19ba70b2e0bc26835192fd3b,58.4M,Tencent
com.mq.red.packet,红包来了,7aaffbc14017a1dc0f304a8405db67d2,25.0M,Tencent
com.my.haoyangmao,薅羊毛,4ed8bad02fd0899bd40c18e27c8b5870,33.5M,Tencent
com.my.shengqian,省钱app,81753c30c85d3f81f579ea6522b202cf,32.7M,Tencent
com.phrase.wealth,成语财神爷,93e272a5273fbcfdf7295cb98807949e,36.6M,Tencent
com.profit.run.much,零点跑步,a2e43973f04b9702854a012f16ce6725,29.8M,Tencent
com.qinlian.sleeptreasure,睡觉宝,9074182c5c7340c8a711cae65b1e3b87,35.5M,Tencent
com.qiyi.video,爱奇艺,e59065964f109f4335dfa13567f1c5fb,101.4M,Tencent
com.qiyi.video.lite,爱奇艺极速版,d2b0e0a0924912bb4ca83827abdd640a,41.1M,Tencent
com.qq.reader,QQ阅读,4beb6ece506f81ce18fcf6c3ccd4e5c2,29.4M,Tencent
com.qsmy.walkmonkey,步多多,1504cac7044ec8aa0c008073aba6f490,48.7M,Tencent
com.quliang.video,乐趣喜刷,c441c7878ce376c5c59fd32850184bc8,47.7M,Tencent
com.qxtx.shengqianhua,省钱花,699c01355ab7c58e62025d1ccc845098,35.1M,Tencent
