id,package_name,app_name,rating,review,market
1,cn.baohong.app,包红,positive,包红红包非常很好,Tencent
2,cn.youth.news,中青看点,positive,我感觉很好，每次都能金币提现，青豆换算感谢平台长知识长智慧！,Tencent
3,cn.youth.news,中青看点,positive,很好，即看了新闻等等，又得青币，非常好！,Tencent
4,cn.youth.news,中青看点,positive,多给金币呦！点赞！,Tencent
5,cn.youth.news,中青看点,neutral,就是有一点，找不到红包钱该怎么赚，只能领青豆,Tencent
6,cn.youth.news,中青看点,positive,中青看点太好了了，有新闻，有健康知识。还有视频等，在看新闻等还有青币领，提现快快的，,Tencent
7,cn.youth.news,中青看点,negative,连续在线长达近四年，感觉越玩越没味道，广告套广告的，想返回都难，做完任务领金币还要看完广告才能领取，实在没心思玩J,Tencent
8,cn.youth.news,中青看点,negative,不要被骗，40块钱不是现金是代金券，攒五块钱提现用一个多月,Tencent
9,cn.youth.news,中青看点,negative,金币有点少，转发文章发再多也只有一个人份额金币,Tencent
10,cn.youth.news,中青看点,positive,中青看点很好，看了新闻，生活常识，看视频能挣钱，签到，分享都能领青币提现！,Tencent
11,cn.youth.news,中青看点,positive,看点很好，看新闻，视频等能领青币，发给朋友或朋友圈后，读了后还能多领青币，谢谢平台的软件！,Tencent
12,cn.youth.news,中青看点,negative,提现金额太少了。。提现间隔很大，之后提现个三毛都要分享文章并且被浏览。。。不太满意,Tencent
13,cn.youth.news,中青看点,positive,很好的。金币有所减少，但其他也一样，总体不错。,Tencent
14,cn.youth.news,中青看点,positive,好，继续加油，金币再加量。,Tencent
15,cn.youth.news,中青看点,negative,金币越来越少，是系统出了问题，还是有人做怪。看点新出之时，明确以大众为重，不做广告不降金币。我用了3年，再看现在，早已背离了初衷承诺。几次想卸载，却又舍不得，也不知自己能坚持多久……,Tencent
16,cn.youth.news,中青看点,neutral,学到了很很多新的生活，明白了很很多做人的道理，就是金币太少了,Tencent
17,cn.youth.news,中青看点,neutral,给三毛就不错了就是金币少一圈10个 希望改进,Tencent
18,cn.youth.news,中青看点,negative,中青是不是更新了，游戏都没有了，金币又少,Tencent
19,cn.youth.news,中青看点,positive,中青看点好，看中青看点既增长知识又锻炼手脑还有金币收入。我要一直看。,Tencent
20,cn.youth.news,中青看点,positive,拿金币快，兑换快。新闻内容更新及时。,Tencent
21,cn.youth.news,中青看点,positive,很好的APP，可以看咨询视频，还可以提现红包，是真的可以提现哦,Tencent
22,cn.youth.news,中青看点,positive,内容丰富多彩！金币有待提高！,Tencent
23,cn.youth.news,中青看点,positive,真的能领红包,Tencent
24,cn.youth.news,中青看点,positive,转发分享，赚金币,Tencent
25,cn.youth.news,中青看点,positive,中青看点不错，内容丰富，而且还赚金币，,Tencent
26,cn.youth.news,中青看点,positive,看新闻涨知识得金币,Tencent
27,cn.youth.news,中青看点,positive,新闻多   广告少现金好提,Tencent
28,cn.youth.news,中青看点,positive,看点文章好，内容真切，金币到账快！OK受到群众的好评！,Tencent
29,cn.youth.news,中青看点,negative,分享有限制，也就3000金币,Tencent
30,cn.youth.news,中青看点,neutral,这个软件是挺好的，就是任务太少了，每天赚的金币太少了，很久才能提现,Tencent
31,cn.youth.news,中青看点,neutral,你们最近提现金额多久到账啊,Tencent
32,cn.youth.news,中青看点,positive,比看别的都好金币也给的多,Tencent
33,cn.youth.news,中青看点,negative,给的金币太少，都没兴趣看了,Tencent
34,cn.youth.news,中青看点,negative,废！为什么只能国内手机号可以注册罢了 其他国家不能！浪费大家时间为了领取红包最后什么都没有。！,Tencent
35,cn.youth.news,中青看点,positive,这是一个知识面广，而且在浏览信息的同时还能稳定的获得红包。我很喜欢！,Tencent
36,cn.youth.news,中青看点,negative,注册根本没有20元红包骗子,Tencent
37,cn.youth.news,中青看点,positive,中青看点不错，金币能再多一点就更好了,Tencent
38,cn.youth.news,中青看点,positive,红包非常给力,Tencent
39,cn.youth.news,中青看点,negative,怎么金币越来越少了？,Tencent
40,cn.youth.news,中青看点,neutral,我是追随中青几年的读者，但对近手机界面所打的广告移不动也删不了影响到青豆得分，再有就是分享文章時，一片兰屏，非要发朋友圈才能完成,Tencent
41,cn.youth.news,中青看点,neutral,就是青豆少了点,Tencent
42,cn.youth.news,中青看点,negative,新人7天内还好吧，邀请过小号的大号提了17次1元和2次五毛，第8天开始青豆数量是原来的1/8左右，任何途径获取青豆都要看广告，否则一律没有收益，这点就非常反感，提出最后的几毛钱就卸载了，不适合长期用,Tencent
43,cn.youth.news,中青看点,negative,青豆越来越少，很多任务做不起来。,Tencent
44,cn.youth.news,中青看点,positive,中青看点内容丰富，知识面广，看阅后还可以领青豆兑钱。不错，值得信赖，願中青看点越办越好。,Tencent
45,cn.youth.news,中青看点,positive,时政新闻和热点问题比其他媒体稍慢了点，希望能加速。走路奖励的青豆太少，与提倡全民健身的要求相差太远，长久以来令人夫望，走2万步才奖励35豆。三个榜涉及的面不足。其他方面中青看点，做的非常好。我追随看点已有四年。同时，我希望网友的建议能有反馈，否则大家的积极性受到打击，再也不会提建议或发表意见了。尊重民意，及时沟通，及时改正应改的东西，是做好一切事情的根本，祝愿中青看点越来越好！,Tencent
46,cn.youth.news,中青看点,positive,我用了好多年，是一个非常喜欢的app，会一直用下去。给的青豆比较多，能够赚零花钱，提现快速，值得信赖。,Tencent
47,cn.youth.news,中青看点,negative,不守信誉，分享总是得不到青豆。分享时没超时说过期不给青豆。现在玩的没意义了。,Tencent
48,cn.youth.news,中青看点,negative,看文章时间越来越长，给的豆越来越少，广告时间越来越长，广告太多。套路有点深啊。,Tencent
49,cn.youth.news,中青看点,positive,很满意，有一点，青豆给的越来越少的感觉。,Tencent
50,cn.youth.news,中青看点,positive,咨询丰富，自己看赚豆豆，分享赚钱，涨知识还能赚钱，太棒啦,Tencent
51,cn.youth.news,中青看点,negative,中青给青豆是越来越少了，很不规矩，比原来给的差一倍了，完全凭他们偿，想给多少就给多少一点都不规范，玩的都没兴趣了，在这样下去，不玩了，卸载,Tencent
52,cn.youth.news,中青看点,positive,中青看点这个平台不错，看看文章，视频，既涨知识了，又能知道天下事，更好的是，还能赚钱，阅读文章，看看视频都有青豆领，觉得文章好转发朋友圈，朋友看了也有青豆领，虽然不能说让你发财，但是积少成多挺好的，知足者常乐！,Tencent
53,cn.youth.news,中青看点,positive,睡觉能挣钱，走路能赚豆，让你养成好习惯！,Tencent
54,cn.youth.news,中青看点,neutral,内容还行丰富多样，只是青豆太少了，太少了，。,Tencent
55,cn.youth.news,中青看点,negative,一开始还行，现在越来越不行，看你赚的多点，就给你减少青豆，平台一般没意思,Tencent
56,com.baidu.hkvideo,好看视频极速版,positive,好看视频真好看，福利红包急速快!,Tencent
